TID,item
1,118 266 364 427 628 673 868 904
2,40 316 594 858 870 871 917
3,0 132 169 209 314 439 482 553 592 642 885
4,73 128 188 319 374 432 456 511 705 707 756 767 825 894
5,40 63 130 142 493 509 553 670 761 908
6,20 148 540 571 607 634 674 773 781 790 822 825 974
7,43 409 464 522 529 707 753 829 845 868 893 927
8,132 315 437 442 456 721 876 988
9,132 187 480 493 626 650 656 867
10,142 238 442 471 490 493 738 761 837 914 973 992 994 996
11,9 103 359 418 623 652
12,444 550 667 996
13,106 118 427 464 527 798 808 902 993
14,57 137 170 215 235 273 319 471 475 565 571 697 908 909 913
15,5 8 40 48 61 188 191 293 374 381 439 444 521 549 800 808 883 908 989
16,607 828 870
17,104 116 371 378 471 607 929 973
18,24 85 117 259 291 360 371 486 575 837 878
19,25 592 744 837 914 937
20,175 492 543 778 832 996
21,68 85 246 546 753
22,8 86 324 439 559 568 939 954 981 993
23,67 180 306 410 465 534 561 826 829 870 884 891 894 902
24,28 85 135 154 317 404 480 517 555 592 806 879 915
25,81 633 795 902 978 994
26,38 93 123 126 168 331 374 409 444 480 553 592 815 896 925 941 959 991
27,97 130 144 205 318 326 595 622 794 808 830 870
28,22 549 607 625 699 901 988
29,17 61 129 238 300 374 427 428 444 549 616 722 905 989 998
30,163 493 753
31,38 63 126 168 374 409 432 553 571 601 743 815 925 941 961
32,38 219 314 335 432 464 490 811 879 994
33,87 89 93 170 248 316 403 543
34,72 85 463 546 622 682 820
35,598 628 729
36,38 511 531 679 800 896
37,36 137 235 282 314 521 553 774 885 913 916
38,17 136 142 160 247 584 693 717 803 820
39,59 63 307 344 647 863 991
40,62 667 991
41,306 870 894 902
42,71 266 338 402 738 799
43,71 238 403 558 607 634 638 676 747 978
44,17 132 471 559 607 717
45,247 261 318 405 445 474 688 693 809 820 837 916 959
46,8 17 38 238 607 628 778 914 939 962
47,139 338 517 647 663 675 898 927 951 988
48,214 358 543 555 631 662 676 679 737 773 811 832 885 941
49,8 291 398 412 553 592 595 852 925 939
50,28 71 119 182 419 463 494 717
51,127 273 322 333 423 439 534 615 709 829
52,40 95 117 437 439 472 540 561 647 688 721 778 796 821 824 827 876
53,68 109 293 628 662 669 710 787 868
54,38 168 231 722 737 756
55,14 216 553 727 820 909 921
56,38 107 125 126 201 207 405 442 445 524 557 577 652 721 909 973
57,28 71 89 119 170 182 238 463 494
58,5 24 186 238 274 318 331 419 445 649 717 837 901
59,48 280 293 322 387 480 647 652 822 963
60,48 188 439 800 908
61,62 139 212 301 432 511 517 553 608 706 803 902 927 951 988
62,51 118 132 187 427 480 493 550 555 626 650 656 667 879 915
63,28 69 71 119 182 203 463 494 555 613 647 833
64,3 45 67 359 638 722 775 800 990
65,95 209 374 377 647 709
66,101 115 230 545 592 830 868 870
67,214 444 501 913
68,33 248 259 360 377 421 543 570 613 803
69,69 80 117 236 436 441 472 520 732 737 833 883 885 924 959
70,39 93 123 215 273 293 331 444 471 480 565 651 721 829 896 908 909 959 991
71,118 737 797 943 962 994
72,8 20 38 87 159 182 360 502 534 545 604 706 722 872
73,8 238 248 325 368 395 667 709 714 754 970
74,28 388 464 511 608 687 697
75,51 132 318 415 416 512 550 571 619 667 901
76,36 89 150 155 374 436 553
77,118 142 241 259 442 471 493 591 662 738 761 946 962
78,558 607 676 978
79,71 87 130 159 217 336 405 430 553 559 772 915 989
